"filename", "language", "Python", "JSON", "CSS", "comment", "blank", "total"
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/MC_sim_proof_of_conc.py", "Python", 53, 0, 0, 0, 14, 67
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/MC_toy_model_funcs.py", "Python", 60, 0, 0, 3, 15, 78
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/equi_dist_point_cyl_generator.py", "Python", 65, 0, 0, 10, 19, 94
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/open3d_voxelization_test.py", "Python", 13, 0, 0, 1, 2, 16
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/surface_reconstruction.py", "Python", 0, 0, 0, 34, 7, 41
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_book.ipynb", "JSON", 0, 2388, 0, 0, 1, 2389
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_delauney_triangulation.py", "Python", 60, 0, 0, 19, 19, 98
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_write.py", "Python", 19, 0, 0, 0, 7, 26
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/MC_simulator_convex.py", "Python", 1425, 0, 0, 321, 410, 2156
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/Stopwatch_textual.css", "CSS", 0, 0, 26, 0, 5, 31
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/anatomy_reconstructor_tools.py", "Python", 345, 0, 0, 31, 51, 427
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_creator.py", "Python", 308, 0, 0, 125, 157, 590
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_localization_convex_main.py", "Python", 3495, 0, 0, 701, 1042, 5238
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_localization_prototyping.py", "Python", 250, 0, 0, 157, 106, 513
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/biopsy_optimizer.py", "Python", 237, 0, 0, 67, 100, 404
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/centroid_finder.py", "Python", 22, 0, 0, 0, 12, 34
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/csv_writers.py", "Python", 477, 0, 0, 9, 126, 612
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/cupy_functions.py", "Python", 103, 0, 0, 28, 51, 182
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/dataframe_builders.py", "Python", 580, 0, 0, 6, 155, 741
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/fanova.py", "Python", 925, 0, 0, 327, 294, 1546
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/fanova_mathfuncs.py", "Python", 60, 0, 0, 0, 27, 87
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/kD_data_tree_class.py", "Python", 65, 0, 0, 4, 14, 83
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/loading_tools.py", "Python", 53, 0, 0, 9, 12, 74
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/math_funcs.py", "Python", 193, 0, 0, 41, 56, 290
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/misc_tools.py", "Python", 293, 0, 0, 75, 137, 505
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/my-lib/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/patient_sample_analyser.py", "Python", 0, 0, 0, 0, 1, 1
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/pca.py", "Python", 13, 0, 0, 2, 4, 19
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/plotting_funcs.py", "Python", 581, 0, 0, 25, 148, 754
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/point_containment_tools.py", "Python", 539, 0, 0, 88, 153, 780
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/production_plots.py", "Python", 2529, 0, 0, 390, 510, 3429
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/ques_funcs.py", "Python", 46, 0, 0, 13, 7, 66
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/rich_preambles.py", "Python", 169, 0, 0, 5, 36, 210
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/stopwatch_textual.py", "Python", 68, 0, 0, 15, 24, 107
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/test_code.ipynb", "JSON", 0, 2709, 0, 0, 1, 2710
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/test_textual.py", "Python", 9, 0, 0, 0, 3, 12
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/uncertainty_file_writer.py", "Python", 104, 0, 0, 7, 25, 136
"/home/mjm/Documents/UBC/Research/biopsylocalization-new/biopsylocalization-python/python_files_dcm_meta_based/uncertainty_processor.py", "Python", 2, 0, 0, 0, 1, 3
"Total", "-", 13161, 5097, 26, 2513, 3753, 24550
