"filename", "language", "Python", "PostCSS", "JSON", "Markdown", "comment", "blank", "total"
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/.VSCodeCounter/2025-09-23_10-48-55/details.md", "Markdown", 0, 0, 0, 70, 0, 6, 76
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/.VSCodeCounter/2025-09-23_10-48-55/diff-details.md", "Markdown", 0, 0, 0, 9, 0, 6, 15
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/.VSCodeCounter/2025-09-23_10-48-55/diff.md", "Markdown", 0, 0, 0, 12, 0, 7, 19
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/.VSCodeCounter/2025-09-23_10-48-55/results.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/.VSCodeCounter/2025-09-23_10-48-55/results.md", "Markdown", 0, 0, 0, 19, 0, 7, 26
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/MC_sim_proof_of_conc.py", "Python", 53, 0, 0, 0, 0, 14, 67
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/MC_toy_model_funcs.py", "Python", 60, 0, 0, 0, 3, 15, 78
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/equi_dist_point_cyl_generator.py", "Python", 65, 0, 0, 0, 10, 19, 94
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/open3d_voxelization_test.py", "Python", 13, 0, 0, 0, 1, 2, 16
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/surface_reconstruction.py", "Python", 0, 0, 0, 0, 34, 7, 41
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_book.ipynb", "JSON", 0, 0, 2388, 0, 0, 1, 2389
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_delauney_triangulation.py", "Python", 60, 0, 0, 0, 19, 19, 98
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Junk/test_write.py", "Python", 19, 0, 0, 0, 0, 7, 26
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/MC_prepper_funcs.py", "Python", 376, 0, 0, 0, 280, 211, 867
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/MC_simulator_MR.py", "Python", 139, 0, 0, 0, 32, 61, 232
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/MC_simulator_convex.py", "Python", 1603, 0, 0, 0, 2552, 868, 5023
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/RenderOption_2025-08-14-01-47-25.json", "JSON", 0, 0, 41, 0, 0, 0, 41
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/ScreenCamera_2025-08-14-01-47-25.json", "JSON", 0, 0, 41, 0, 0, 0, 41
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/Stopwatch_textual.css", "PostCSS", 0, 26, 0, 0, 0, 5, 31
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/advanced_guidance_map_creator.py", "Python", 1523, 0, 0, 0, 637, 527, 2687
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/anatomy_reconstructor_tools.py", "Python", 345, 0, 0, 0, 31, 51, 427
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/baysian_inference_demo.py", "Python", 49, 0, 0, 0, 8, 15, 72
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/biopsy_creator.py", "Python", 308, 0, 0, 0, 125, 157, 590
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/biopsy_localization_convex_main.py", "Python", 6770, 0, 0, 0, 2344, 2512, 11626
"/home/matthew-muscat/Documents/UBC/Research/biopsylocalization-python/python_files_dcm_meta_based/biopsy_localization_prototyping.py", "Python", 250, 0, 0, 0, 157, 106, 513
